,SKILL,JOB,INTERNSHIPS,JOBLABELS
78,TABLEAU SQL  ,DATA ANALYST,"ANALYTICS DATA PIPELINE DEVELOPMENT, EMPLAY INC",0
79,POWERBI  ,DATA ANALYST,"DATA ANALYTICS, COLORS DIGITAL",0
80,POWERBI SQL,DATA ANALYST,"DATA OPERATIONS ANALYSIS, LOHUM CLEANTECH PVT LTD",0
81,SQL POWERBI ,DATA ANALYST,"DATA ANALYST INTERN, MICRO VISION",0
82,MS-EXCEL ,DATA ANALYST,"DATA RESEARCH ANALYST, ZETTA WOMEN",0
83,TABLEAU POWERBI,DATA ANALYST,"DATA MINING INTERNSHIP, KABRA BEARINGS AND POWER PVT LTD",0
84,MS-EXCEL SQL  ,DATA ANALYST,"DATA ANALYST, INKEY",0
85,POWERBI MS-EXCEL  ,DATA ANALYST,"DATA ANALYST INTERN, MERKLE",0
86,MS-EXCEL POWERBI TABLEAU,DATA ANALYST,"DATA ANALYST, CHEGG",0
87,ML  ,ML DEVELOPER,"DEEP LEARNING INTERN, ITECH TECHNOLOGIES",2
88,AI  ,ML DEVELOPER,"MACHINE LEARNING INTERN, SPRITLE SOFTWARE",2
89,CNN  ,ML DEVELOPER,"MACHINE LEARNING INTERNSHIP, FORESIGHT SYSTEMS",2
90,NLP,ML DEVELOPER,"ML INTERN, ENTERPRET",2
91,DL  ,ML DEVELOPER,"MACHINE LEARNING INTERN, PHENOM PEOPLE",2
92,ML DL  ,ML DEVELOPER,"ML INTERNSHIP, INDIA ESSENTIAL",2
93,NLP CNN  ,ML DEVELOPER,"MACHINE LEARNING INTERNSHIP, D2K TECHNOLOGIES",2
94,AI NLP  ,ML DEVELOPER,"ML INTERNSHIP, MARKYTICS",2
95,DL ML  ,ML DEVELOPER,"MACHINE LEARNING, GATEWAY SOFTWARE SOLUTIONS",2
96,CNN AI ,ML DEVELOPER,"MACHINE LEARNING, BILATERAL SOLUTIONS PVT LTD",2
97,NLP AI ML  ,ML DEVELOPER,"DEEP LEARNING INTERNSHIPS, TRIPTAM LABS",2
98,AI CNN  ,ML DEVELOPER,"ML INTERN, ADCI",2
99,ML AI NLP  ,ML DEVELOPER,"AI INTERN, BOBBLE AI",2
100,ML CNN ,ML DEVELOPER,"ML/AI DEVELOPMENT, INTERNSHIP STUDIO",2
101,NODEJS  ,WEB DEVELOPER,"WEB DEVELOPMENT, CONTRALY TECH PVT LTD",3
102,DJANGO  ,WEB DEVELOPER,"WEB DEVELOPMENT, BAYES LAB",3
103,MYSQL  ,DATA ANALYST,"DATA  ANALYSIS,TERCEPT INCORPORATION",0
104,HTML  ,WEB DEVELOPER,"WEB DEVELOPMENT, GKB LABS LLP",3
105,CSS  ,WEB DEVELOPER,"WEB DEVELOPER, BIZCONNECT PVT LTD",3
106,JAVASCRIPT  ,WEB DEVELOPER,"WEB DEVELOPER, PEACE SOLUTIONS",3
107,CSS HTML  ,WEB DEVELOPER,"WEB DEVELOPER, OSMOSIS INDIA",3
108,DJANGO HTML,WEB DEVELOPER,"JR.WEB DEVELOPER, DESPRO IT SOLUTIONS",3
109,HTML CSS NODEJS,WEB DEVELOPER,"WEB DEVELOPER, VISHWAYSA TECHNOLOGIES PVT LTD",3
110,NODEJS MYSQL  ,WEB DEVELOPER,"WEB DEVELOPER, THE AD-VENTURE",3
111,MYSQL NODEJS  ,WEB DEVELOPER,"WEB DEVELOPER, TECH CONFER TECHNOLOGIES PVT LTD",3
112,DJANGO MYSQL  ,WEB DEVELOPER,"JR.WEB DEVELOPER, NYNEDGE SOLUTIONS",3
113,MYSQL DJANGO HTML,WEB DEVELOPER,"WEB DEVELOPER, VIOLTECH IT SOLUTIONS PVT LTD",3
114,HTML DJANGO CSS,WEB DEVELOPER,"WEB DEVELOPMENT, LIVAYS IT SOLUTIONS",3
115,DJANGO CSS HTML,WEB DEVELOPER,"WEB DEVELOPER, TRAVGRAM HOLIDAYS",3
116,DJANGO JAVASCRIPT,WEB DEVELOPER,"WEB DEVELOPER, DESIGN-CRAFTER STUDIO PROJECTS PVT LTD",3
117,HTML JAVASCRIPT NODEJS,WEB DEVELOPER,"WEB DEVELOPER, HUB2TECHNOLOGIES",3
118,HTML NODEJS JAVASCRIPT,WEB DEVELOPER,"INTERN WEB DEVELOPER, THE INFINO MEDIA",3
119,HTML JAVSCRIPT NODEJS CSS,WEB DEVELOPER,"WEB DEVELOPER, EPT",3
120,CSS HTML DJANGO JAVASCRIPT,WEB DEVELOPER,"WEB DEVELOPMENT INTERN, FLOURISH SOFTWARE PVT LTD",3
121,NODEJS DJANGO HTML JAVASCRIPT,WEB DEVELOPER,"WEB DEVELOPER, RANNLAB TECHNOLOGIES",3
122,DJANGO NODEJS HTML CSS,WEB DEVELOPER,"WEB DEVELOPERS, OLYEX WEB TECHNOLOGIES",3
123,HTML CSS DJANGO JAVASCRIPT,WEB DEVELOPER,"WEB DEVELOPER, MIDBRAINS TECHNOLOGIES",3
124,JAVASCRIPT MYSQL NODEJS,WEB DEVELOPER,"WEBSITE DEVELOPER, SAIROOP",3
125,NODEJS MYSQL JAVASCRIPT HTML CSS,WEB DEVELOPER,"WEB DEVELOPER, AYUSHKAMIYA BUSINESS SOLUTIONS PVT LTD",3
126,NODEJS HTML CSS JAVASCRIPT,WEB DEVELOPER,"WEB DEVELOPMENT INTERN, EDVORA",3
127,MYSQL HTML CSS JAVASCRIPT,WEB DEVELOPER,"WEB DEVELOPMENT INTERN, QURIOUS CLICK",3
128,CSS JAVASCRIPT DJANGO,WEB DEVELOPER,"STUDENT WEB DEVELOPER, BOOKSHAW",3
129,ML AI NLP CNN ,ML DEVELOPER,"MACHINE LEARNING, CONVIN",2
130,ML AI NLP DL CNN ,ML DEVELOPER,"MACHINE LEARNING, COREQUIZ",2
131,ML AI CNN ,ML DEVELOPER,"AI AND ML, SUMAIYA INDUSTRIES PVT LTD",2
132,CNN NLP DL,ML DEVELOPER,"ML RESEARCH, VELOZITY GLOBAL SOLUTIONS ",2
133,DL NLP AI ,ML DEVELOPER,"AI DEVELOPMENT, HORNBILL LABS PVT LTD",2
134,DL NLP CNN ,ML DEVELOPER,"AI DEVELOPMENT, DIMENSIONLESS TECHNOLOGIES",2
135,NLP AI CNN ML ,ML DEVELOPER,"DEEP LEARNING, SWABHAV TECHLABS",2
136,ML CNN DL NLP,ML DEVELOPER,"ARTIFICAL NEURAL NETWORKS, TVISH",2
137,ML CNN DL AI,ML DEVELOPER,"MACHINE LEARNING INTERNSHIP, GREENDECK",2
138,ML AI CNN NLP,ML DEVELOPER,"REMOTE AI/ML , TURING.COM",2
139,NLP AI ML CNN DL ,ML DEVELOPER,"ML RESEARCH, CROWD WISDOM TECHNOLOGY",2
140,DL ML AI NLP,ML DEVELOPER,"ML INTERN, HIKE",2
141,R PYTHON SQL ,DATA ANALYST,"SHAREPOINT DATA ANALYST, RETAIL 2 CUSTOMER",0
142,SQL PYTHON R,DATA ANALYST,"SHAREPOINT DATA ANALYST, RETAIL 2 CUSTOMER",0
143,R MS-EXCEL PYTHON,DATA ANALYST,"DATA MINING AND ANALYATICS, KELANTIS BUSINESS SOLUTION",0
144,DATASCIENCE R ,DATA SCIENTIST,"DATA SCIENCE, ARGOID",1
145,R PYTHON  ,DATA SCIENTIST,"DATA SCIENCE, ZONOLITH TECHNOLOGIES PVT LTD",1
146,DATASCIENCE PYTHON  ,DATA SCIENTIST,"DATA SCIENCE, SOURCEWIZ",1
147,PYTHON DATASCIENCE  ,DATA SCIENTIST,"DATA SCIENCE, KREATE",1
148,R PYTHON DATASCIENCE,DATA SCIENTIST,"DATA SCIENCE, VISTAAR FINANCIAL SERVICES PVT LTD",1
